Player,Big_Chances_Created,Acc_Final_Third_Passes,Assists
Bruno Fernandes,0.97,19.57,0.6
Kang-in Lee,0.71,24.84,0.24
Federico Dimarco,1.12,16.34,0.58
Michael Olise,1.05,29.09,0.74
Arda Güler,0.63,23.15,0.4
Rayan Cherki,0.97,24.06,0.61
Lamine Yamal,1.03,22.58,0.44
Raphinha,0.71,16.15,0.19
Pedri,0.34,28.36,0.38
Nicolò Barella,0.51,20.0,0.29
Joshua Kimmich,0.63,28.7,0.32
Nico Williams,0.27,10.3,0.16
Elliot Anderson,0.22,15.86,0.11
Vitinha,0.34,26.69,0.3
Manuel Locatelli,0.15,23.01,0.06
Pierre-Emile Højbjerg,0.23,16.91,0.17
Curtis Jones,0.19,22.06,0.1
Eberechi Eze,0.19,10.74,0.1
